frame_num,timestamp,raw_weight,smoothed_weight,confidence,entropy,needs_review
72,2.4024,7.624,7.624,0.9747133255004883,0.07751419395208359,True
73,2.435766666666667,7.624,7.624,0.9747003316879272,0.07804948091506958,True
74,2.469133333333333,7.624,7.624,0.9771442413330078,0.07417959719896317,True
75,2.5025,7.624,7.624,0.9762921929359436,0.07346881181001663,True
76,2.5358666666666667,7.624,7.624,0.9792410135269165,0.0685412734746933,True
77,2.5692333333333335,7.624,7.624,0.9772900342941284,0.07236561924219131,True
78,2.6026000000000002,7.624,7.624,0.9759743809700012,0.07579250633716583,True
79,2.6359666666666666,7.624,7.624,0.9765223264694214,0.07471179962158203,True
80,2.6693333333333333,7.624,7.624,0.977454423904419,0.07367366552352905,True
81,2.7027,7.624,7.624,0.9783701300621033,0.07162238657474518,True
82,2.736066666666667,7.624,7.624,0.9765437245368958,0.07311979681253433,True
